article_id,column1,column2,column3,column4
6714875, Individuals or households||| National government||| Civil Society- international/multinational/national,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based, Extreme precipitation and inland flooding||| General climate impacts||| Drought||| Increased frequency and intensity of extreme heat, Consumption & production||| Food security|||Poverty
6714876, Individuals or households,Behavioural/cultural, General climate impacts||| Extreme precipitation and inland flooding,Poverty||| Work and economic growth||| Gender equality||| Food security
6714880, Individuals or households, Ecosystem-based|||Behavioural/cultural, General climate impacts||| Precipitation variability, Food security|||Poverty||| Work and economic growth||| Consumption & production
6714881, Individuals or households||| Local government||| National government,Behavioural/cultural, General climate impacts, Sustainable cities & communities
6714882, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts, Food security
6714883, Individuals or households,Behavioural/cultural, General climate impacts, Inequalities (Other than gender)||| Work and economic growth||| Food security
6714884, Individuals or households||| Local government||| Sub-national government,Behavioural/cultural, General climate impacts|||Sea level rise||| Extreme precipitation and inland flooding||| Precipitation variability, Clean water & sanitation||| Food security|||Poverty
6714886, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| General climate impacts||| Other1||| Increased frequency and intensity of extreme heat, Food security||| Sustainable cities & communities||| Consumption & production||| Work and economic growth
6714887, Individuals or households,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing
6714888, Individuals or households||| Private sector corporations,Behavioural/cultural, Drought, Food security|||Poverty
6714890, Individuals or households,Behavioural/cultural||| Institutional||| Technological/infrastructural, General climate impacts||| Other1, Health & wellbeing||| Clean water & sanitation
6714896, Individuals or households,Behavioural/cultural, Drought||| General climate impacts,Poverty||| Food security||| Work and economic growth
6714899, Individuals or households||| Civil Society- sub-national or local||| Local government||| Other||| Civil Society- international/multinational/national, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural||| Institutional, General climate impacts||| Other1, Food security||| Marine & coastal ecosystem services|||Poverty||| Sustainable cities & communities
6714903, Individuals or households,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing
6714904, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| General climate impacts||| Precipitation variability, Food security||| Consumption & production||| Sustainable cities & communities||| Education||| Health & wellbeing
6714905, Local government, Institutional||| Technological/infrastructural, No information or not assessed1, Health & wellbeing||| Sustainable cities & communities
6714906, Individuals or households,Behavioural/cultural, Precipitation variability||| Drought, Food security||| Work and economic growth|||Poverty||| Inequalities (Other than gender)
6714907, Individuals or households||| Local government, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| General climate impacts||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Food security|||Poverty||| Consumption & production||| Work and economic growth||| Health & wellbeing||| Gender equality
6714908, Individuals or households,Behavioural/cultural, General climate impacts||| Other1, Health & wellbeing|||Poverty
6714909, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| General climate impacts, Food security||| Consumption & production|||Poverty||| Work and economic growth
6714910, Individuals or households||| Civil Society- sub-national or local||| Local government, Technological/infrastructural|||Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding, Sustainable cities & communities||| Clean water & sanitation||| Health & wellbeing||| Inequalities (Other than gender)|||Poverty
6714911, Individuals or households||| Other||| National government||| Civil Society- sub-national or local||| Local government||| Sub-national government, Institutional||| Technological/infrastructural, Drought||| Precipitation variability||| Other1, Other2||| Clean water & sanitation||| Consumption & production
6714912, Local government||| Sub-national government||| Individuals or households, Institutional|||Behavioural/cultural, General climate impacts||| Drought||| Extreme precipitation and inland flooding, Sustainable cities & communities||| Clean water & sanitation||| Other2||| Work and economic growth
6714913, Civil Society- sub-national or local||| Local government||| Other||| Individuals or households||| Private sector corporations, Institutional||| Technological/infrastructural, Other1||| General climate impacts||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Drought||| Precipitation variability, Food security|||Poverty||| Gender equality||| Health & wellbeing||| Sustainable cities & communities||| Work and economic growth
6714914, Individuals or households||| Local government||| Civil Society- sub-national or local||| Other, Institutional|||Behavioural/cultural, Precipitation variability||| Drought, Food security||| Consumption & production
6714915, Civil Society- sub-national or local||| Local government||| National government||| Private sector corporations, Institutional, General climate impacts, Peace justice & strong institutions||| Industry/innovation/technology
6714916, Individuals or households, Ecosystem-based, General climate impacts, Food security
6714918, Individuals or households,Behavioural/cultural||| Institutional||| Technological/infrastructural, General climate impacts||| Increased frequency and intensity of extreme heat, Health & wellbeing||| Inequalities (Other than gender)
6714919, Individuals or households, Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding||| General climate impacts, Energy security||| Food security||| Consumption & production
6714920,No information or not assessed3, Institutional||| Technological/infrastructural|||Behavioural/cultural, Increased frequency and intensity of extreme heat||| Other1, Health & wellbeing||| Inequalities (Other than gender)
6714922, Individuals or households||| Local government,Behavioural/cultural||| Institutional, Loss of Arctic sea ice||| Other1||| General climate impacts, Food security||| Health & wellbeing|||Poverty
6714923, National government||| Civil Society- international/multinational/national||| Individuals or households||| Other||| Local government||| Civil Society- sub-national or local||| Sub-national government|||International or multinational governance institutions, Institutional||| Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Other1||| Precipitation variability, Health & wellbeing||| Sustainable cities & communities||| Marine & coastal ecosystem services||| Other2||| Work and economic growth
6714924, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural||| Institutional, Drought||| Extreme precipitation and inland flooding|||Sea level rise||| General climate impacts||| Other1, Food security||| Clean water & sanitation||| Health & wellbeing||| Inequalities (Other than gender)||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Work and economic growth||| Marine & coastal ecosystem services
6714925, Local government||| Individuals or households, Institutional||| Technological/infrastructural, Increased frequency and intensity of extreme heat||| General climate impacts, Health & wellbeing
6714926, Individuals or households, Technological/infrastructural|||Behavioural/cultural, Drought||| Other1, Consumption & production||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities||| Work and economic growth
6714927, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding,Poverty||| Consumption & production
6714929, National government||| Other||| Private sector SMEs||| Individuals or households,Behavioural/cultural||| Technological/infrastructural||| Institutional, Loss of Arctic sea ice||| Other1, Other2||| Work and economic growth||| Food security
6714930, Civil Society- sub-national or local||| Local government||| National government||| Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based||| Institutional, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat|||Sea level rise||| Drought||| Other1||| Precipitation variability||| General climate impacts, Food security|||Poverty||| Other2
6714931, Individuals or households||| Private sector corporations||| Civil Society- international/multinational/national||| Civil Society- sub-national or local, Technological/infrastructural||| Ecosystem-based||| Institutional|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| No information or not assessed1||| General climate impacts, Food security|||Poverty||| Gender equality
6714932, Individuals or households, Ecosystem-based||| Institutional||| Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Drought||| General climate impacts||| Other1, Gender equality||| Food security||| Consumption & production||| Health & wellbeing||| Sustainable cities & communities||| Work and economic growth
6714933, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Precipitation variability||| Drought||| Extreme precipitation and inland flooding||| General climate impacts||| Increased frequency and intensity of extreme heat||| Other1, Gender equality||| Inequalities (Other than gender)||| Food security|||Poverty||| Consumption & production||| Work and economic growth
6714934, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Drought||| General climate impacts||| Other1, No information or not assessed2||| Consumption & production|||Poverty||| Food security||| Health & wellbeing
6714935, Individuals or households, Institutional||| Technological/infrastructural|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability, Food security|||Poverty
6714938, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability||| Other1||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| General climate impacts,Poverty||| Food security||| Industry/innovation/technology||| Inequalities (Other than gender)||| Work and economic growth||| Consumption & production
6714939, Individuals or households||| Private sector SMEs||| National government, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Other1||| Drought, Work and economic growth|||Poverty||| Consumption & production
6714942, Individuals or households, Ecosystem-based|||Behavioural/cultural, Drought||| General climate impacts, Consumption & production||| Food security||| Health & wellbeing||| Sustainable cities & communities||| Work and economic growth||| Gender equality|||Poverty
6714943, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based||| Institutional, Precipitation variability||| General climate impacts||| Drought, Food security|||Poverty
6714944, Civil Society- international/multinational/national||| Other||| Civil Society- sub-national or local||| Individuals or households||| Local government||| National government||| Sub-national government|||International or multinational governance institutions, Institutional||| Technological/infrastructural, Other1||| Extreme precipitation and inland flooding,Poverty||| Other2||| Sustainable cities & communities
6714945, Individuals or households||| National government||| Sub-national government||| Local government, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural||| Institutional, Other1||| Extreme precipitation and inland flooding|||Sea level rise,Poverty||| Food security||| Health & wellbeing||| Clean water & sanitation||| Sustainable cities & communities||| Consumption & production||| Work and economic growth
6714947, Individuals or households||| Other,Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| Other1, Food security||| Terrestrial & freshwater ecosystem services|||Poverty
6714949, Individuals or households||| Other,Behavioural/cultural, General climate impacts||| Precipitation variability||| Other1||| No information or not assessed1, Food security|||Poverty||| Gender equality
6714950, Individuals or households||| National government||| Local government,Behavioural/cultural||| Institutional||| Ecosystem-based, Drought||| Precipitation variability||| General climate impacts, Gender equality|||Poverty||| Food security||| Clean water & sanitation||| Health & wellbeing||| Other2
6714951, Civil Society- sub-national or local||| Individuals or households||| Civil Society- international/multinational/national|||International or multinational governance institutions, Ecosystem-based||| Institutional|||Behavioural/cultural, General climate impacts||| Extreme precipitation and inland flooding||| Precipitation variability||| Drought, Food security||| Gender equality||| Industry/innovation/technology||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Consumption & production
6714952, Individuals or households, Technological/infrastructural||| Ecosystem-based||| Institutional|||Behavioural/cultural, Increased frequency and intensity of extreme heat|||Sea level rise||| Extreme precipitation and inland flooding, Food security||| Health & wellbeing
6714953, Individuals or households||| Local government,Behavioural/cultural, Drought||| Precipitation variability||| Other1||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding, Consumption & production||| Food security||| Sustainable cities & communities|||Poverty||| Work and economic growth||| Health & wellbeing
6714954, Civil Society- international/multinational/national||| Individuals or households||| Civil Society- sub-national or local||| Local government, Institutional||| Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| General climate impacts||| Other1||| Drought,Poverty||| Other2||| Clean water & sanitation||| Energy security||| Food security||| Health & wellbeing||| Sustainable cities & communities
6714955, Civil Society- international/multinational/national||| Individuals or households, Ecosystem-based||| Technological/infrastructural||| Institutional, Drought||| Other1,Poverty
6714956, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability, Food security|||Poverty
6714957, Individuals or households||| National government||| Sub-national government, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Other1,Poverty||| Food security||| Health & wellbeing||| Consumption & production||| Sustainable cities & communities||| Work and economic growth
6714959, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Health & wellbeing||| Sustainable cities & communities
6714960, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural||| Technological/infrastructural||| Institutional, Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities||| No information or not assessed2
6714963, Individuals or households||| Civil Society- sub-national or local||| Local government, Technological/infrastructural|||Behavioural/cultural||| Institutional||| Ecosystem-based, Precipitation variability||| General climate impacts, Food security|||Poverty||| Health & wellbeing||| Education
6714965, Individuals or households, Ecosystem-based||| Technological/infrastructural||| Institutional|||Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise||| Other1,Poverty||| Other2||| Sustainable cities & communities
6714966, Local government||| National government||| Other||| Civil Society- sub-national or local, Institutional||| Technological/infrastructural|||Behavioural/cultural, Loss of Arctic sea ice|||Sea level rise||| Other1||| Extreme precipitation and inland flooding||| General climate impacts,Poverty||| Other2||| Marine & coastal ecosystem services||| Health & wellbeing||| Peace justice & strong institutions||| Inequalities (Other than gender)||| Clean water & sanitation||| Sustainable cities & communities||| Food security
6714970, Individuals or households||| Local government||| National government, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional, Drought||| Precipitation variability, Food security|||Poverty||| Work and economic growth||| Consumption & production||| No information or not assessed2
6714971,No information or not assessed3, No information or not assessed, No information or not assessed1, No information or not assessed2
6714974, Individuals or households, Ecosystem-based||| Technological/infrastructural, Drought||| Increased frequency and intensity of extreme heat, Food security||| Work and economic growth
6714976, Individuals or households,Behavioural/cultural||| Ecosystem-based, Drought||| Increased frequency and intensity of extreme heat, Consumption & production||| Food security||| Other2
6714977, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Individuals or households||| National government||| Local government||| Sub-national government, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| General climate impacts, Food security|||Poverty||| Consumption & production
6714978, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, General climate impacts||| Drought, Food security||| Terrestrial & freshwater ecosystem services
6714980, Individuals or households||| National government, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural||| Institutional, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| General climate impacts, Food security||| Work and economic growth|||Poverty||| Education||| Health & wellbeing||| Gender equality||| Inequalities (Other than gender)
6714981, Individuals or households||| Local government,Behavioural/cultural||| Institutional||| Technological/infrastructural||| Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| Precipitation variability,Poverty||| Food security||| Health & wellbeing||| Work and economic growth
6714982, Individuals or households||| National government|||International or multinational governance institutions||| Civil Society- sub-national or local||| Civil Society- international/multinational/national, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding||| Drought||| Precipitation variability||| General climate impacts, Food security||| Work and economic growth|||Poverty||| Inequalities (Other than gender)
6714984, Civil Society- international/multinational/national||| National government, Ecosystem-based||| Institutional|||Behavioural/cultural, No information or not assessed1||| General climate impacts, No information or not assessed2||| Food security
6714986, Other||| Individuals or households||| Civil Society- international/multinational/national||| Local government|||International or multinational governance institutions, Institutional|||Behavioural/cultural, General climate impacts, Inequalities (Other than gender)|||Poverty||| Health & wellbeing||| Terrestrial & freshwater ecosystem services||| Food security
6714987, Individuals or households||| Local government||| Civil Society- sub-national or local,Behavioural/cultural||| Technological/infrastructural||| Institutional||| Ecosystem-based,Sea level rise||| General climate impacts, Food security||| Consumption & production||| Health & wellbeing||| Work and economic growth|||Poverty||| Sustainable cities & communities||| Other2
6714988, Civil Society- sub-national or local||| Individuals or households||| Local government, Technological/infrastructural|||Behavioural/cultural||| Institutional,Sea level rise||| Extreme precipitation and inland flooding, Sustainable cities & communities||| Health & wellbeing||| Marine & coastal ecosystem services
6714991, Individuals or households||| National government||| Local government, Ecosystem-based||| Technological/infrastructural||| Institutional|||Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise||| Other1||| General climate impacts, Sustainable cities & communities||| Health & wellbeing||| Other2||| Marine & coastal ecosystem services||| Clean water & sanitation||| Food security|||Poverty
6714992, Local government||| National government||| Individuals or households,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Other1,Poverty||| Food security||| Health & wellbeing||| Clean water & sanitation||| Sustainable cities & communities||| Marine & coastal ecosystem services||| Terrestrial & freshwater ecosystem services||| Other2
6714993, National government||| Private sector SMEs||| Individuals or households, Ecosystem-based|||Behavioural/cultural, Drought||| General climate impacts||| Precipitation variability||| Other1, Consumption & production||| Terrestrial & freshwater ecosystem services||| Work and economic growth
6714995, Individuals or households||| National government||| Private sector corporations|||International or multinational governance institutions, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Other1||| Extreme precipitation and inland flooding, Food security||| Other2|||Poverty
6714996, Other||| Civil Society- sub-national or local||| Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| Rising ocean temperature and ocean acidification|||Sea level rise||| Precipitation variability||| Loss of Arctic sea ice, Clean water & sanitation||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities||| Food security
6714997, Individuals or households, Ecosystem-based||| Institutional|||Behavioural/cultural, No information or not assessed1, No information or not assessed2
6714998, National government|||International or multinational governance institutions||| Individuals or households||| Civil Society- international/multinational/national, Ecosystem-based||| Institutional||| Technological/infrastructural|||Behavioural/cultural, General climate impacts, Food security||| Terrestrial & freshwater ecosystem services
6715000, National government||| Individuals or households|||International or multinational governance institutions||| Other, Ecosystem-based||| Institutional, General climate impacts, Food security
6715001, Local government||| Individuals or households||| Private sector corporations|||International or multinational governance institutions,Behavioural/cultural||| Ecosystem-based||| Institutional, Other1,Poverty||| Food security
6715002, Civil Society- sub-national or local||| Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding, Clean water & sanitation||| Health & wellbeing||| Food security||| Sustainable cities & communities|||Poverty
6715003, Local government||| Individuals or households||| National government||| Sub-national government, Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural||| Institutional, Other1|||Sea level rise||| Drought, Food security|||Poverty||| Clean water & sanitation||| Sustainable cities & communities||| Marine & coastal ecosystem services
6715004, Individuals or households,Behavioural/cultural, Precipitation variability||| Drought, Consumption & production
6715005, Individuals or households, Ecosystem-based|||Behavioural/cultural, Increased frequency and intensity of extreme heat||| Precipitation variability||| Drought, Food security||| Clean water & sanitation|||Poverty
6715006, Individuals or households,Behavioural/cultural, Drought||| Increased frequency and intensity of extreme heat||| General climate impacts, Consumption & production||| Food security||| Sustainable cities & communities||| Work and economic growth
6715007, Other, Institutional|||Behavioural/cultural, General climate impacts, Consumption & production||| Health & wellbeing||| Other2
6715008, Civil Society- international/multinational/national||| Individuals or households||| National government||| Civil Society- sub-national or local||| Sub-national government||| Private sector SMEs||| Private sector corporations||| Local government|||International or multinational governance institutions, Institutional||| Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Other1||| Precipitation variability||| Drought||| Extreme precipitation and inland flooding, Clean water & sanitation||| Consumption & production||| Food security||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services|||Poverty
6715009, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding, Consumption & production||| Food security||| Work and economic growth||| Sustainable cities & communities
6715010, Individuals or households||| National government||| Civil Society- sub-national or local||| Local government,Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat|||Sea level rise||| General climate impacts||| Precipitation variability, Consumption & production||| Food security||| Sustainable cities & communities||| Work and economic growth
6715011, Civil Society- international/multinational/national||| National government||| Local government|||International or multinational governance institutions, Technological/infrastructural||| Ecosystem-based||| Institutional, Drought||| Extreme precipitation and inland flooding|||Sea level rise||| Other1||| General climate impacts, No information or not assessed2||| Clean water & sanitation||| Energy security||| Food security||| Health & wellbeing||| Sustainable cities & communities
6715012, Individuals or households,Behavioural/cultural||| Institutional||| Technological/infrastructural, General climate impacts||| Drought||| Precipitation variability|||Sea level rise, Clean water & sanitation||| Gender equality||| Food security|||Poverty
6715013, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Other1||| Loss of Arctic sea ice||| General climate impacts||| Precipitation variability, Consumption & production||| Health & wellbeing||| Sustainable cities & communities||| Food security
6715014, Individuals or households,Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding||| Drought||| Precipitation variability|||Sea level rise||| Other1, Food security||| Health & wellbeing||| Consumption & production|||Poverty
6715016, Individuals or households||| Other||| National government, Ecosystem-based|||Behavioural/cultural||| Institutional, Drought||| Extreme precipitation and inland flooding||| Other1|||Sea level rise||| Precipitation variability||| General climate impacts, Consumption & production||| Food security||| Sustainable cities & communities|||Poverty
6715017, Individuals or households||| Local government||| Civil Society- sub-national or local||| Other, Technological/infrastructural|||Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding, Clean water & sanitation||| Health & wellbeing
6715018, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding|||Sea level rise||| Precipitation variability||| Other1, No information or not assessed2||| Food security|||Poverty
6715019, Individuals or households||| Local government||| National government||| Civil Society- sub-national or local, Ecosystem-based||| Technological/infrastructural||| Institutional|||Behavioural/cultural, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Food security|||Poverty||| Health & wellbeing||| Sustainable cities & communities
6715020, Civil Society- sub-national or local||| National government||| Private sector SMEs||| Individuals or households, Ecosystem-based||| Technological/infrastructural||| Institutional|||Behavioural/cultural, Extreme precipitation and inland flooding, Terrestrial & freshwater ecosystem services|||Poverty||| Clean water & sanitation
6715023, Civil Society- sub-national or local||| Individuals or households||| Civil Society- international/multinational/national, Institutional|||Behavioural/cultural, Drought||| Precipitation variability||| General climate impacts, Consumption & production||| Food security||| Gender equality
6715024, National government|||International or multinational governance institutions||| Civil Society- sub-national or local||| Local government||| Individuals or households, Institutional||| Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding||| Drought||| Other1|||Sea level rise,Poverty||| Food security||| Sustainable cities & communities
6715026, Private sector SMEs||| Local government||| Private sector corporations, Technological/infrastructural|||Behavioural/cultural||| Institutional, Other1, Industry/innovation/technology
6715027, Individuals or households||| National government,Behavioural/cultural, Precipitation variability||| Drought, Food security||| Work and economic growth|||Poverty
6715028, Individuals or households||| Civil Society- sub-national or local||| Local government||| National government, Ecosystem-based|||Behavioural/cultural||| Institutional||| Technological/infrastructural, Precipitation variability||| Drought||| Extreme precipitation and inland flooding, Food security||| Other2||| Consumption & production||| Gender equality
6715029, Civil Society- sub-national or local||| Private sector SMEs, Institutional|||Behavioural/cultural||| Ecosystem-based, General climate impacts|||Sea level rise, No information or not assessed2||| Consumption & production
6715030, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Drought||| Other1||| General climate impacts, Food security|||Poverty||| Consumption & production
6715032, Individuals or households||| Other||| Civil Society- sub-national or local||| Local government, Institutional||| Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| Other1, Food security||| Inequalities (Other than gender)
6715033, Individuals or households, Ecosystem-based|||Behavioural/cultural, Precipitation variability||| Drought||| No information or not assessed1, Sustainable cities & communities
6715034, Individuals or households||| Local government||| Civil Society- sub-national or local||| Other, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| General climate impacts, Clean water & sanitation||| Food security|||Poverty||| Gender equality
6715036, Individuals or households||| National government||| Local government||| Civil Society- sub-national or local,Behavioural/cultural||| Technological/infrastructural||| Institutional, Precipitation variability||| General climate impacts||| Drought||| Other1, Food security||| Other2||| Consumption & production||| Health & wellbeing|||Poverty
6715037, Other||| Individuals or households||| Private sector SMEs,Behavioural/cultural,Sea level rise||| Rising ocean temperature and ocean acidification||| General climate impacts, Food security||| Work and economic growth||| Marine & coastal ecosystem services||| Other2
6715040, Civil Society- sub-national or local||| National government||| Individuals or households||| Local government||| Sub-national government,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural,Sea level rise||| Loss of Arctic sea ice||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| Rising ocean temperature and ocean acidification, Sustainable cities & communities||| Health & wellbeing||| Clean water & sanitation|||Poverty||| Food security
6715042, Civil Society- sub-national or local,Behavioural/cultural,Sea level rise||| Rising ocean temperature and ocean acidification||| General climate impacts, Work and economic growth
6715043, National government|||International or multinational governance institutions||| Other||| Private sector corporations||| Local government||| Individuals or households, Institutional|||Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, Extreme precipitation and inland flooding||| Precipitation variability||| Drought|||Sea level rise||| General climate impacts, Marine & coastal ecosystem services||| No information or not assessed2
6715044, Individuals or households||| National government||| Private sector SMEs,Behavioural/cultural||| Ecosystem-based,Sea level rise||| Other1, Marine & coastal ecosystem services||| Work and economic growth
6715045, Local government||| Private sector SMEs||| Individuals or households||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural||| Institutional||| Ecosystem-based,Sea level rise||| Extreme precipitation and inland flooding||| Drought||| Rising ocean temperature and ocean acidification, Food security||| Marine & coastal ecosystem services
6715047, Individuals or households,Behavioural/cultural,Sea level rise||| Other1, Food security||| Clean water & sanitation||| Sustainable cities & communities||| Health & wellbeing
6715049, Individuals or households||| Civil Society- international/multinational/national||| National government, Institutional|||Behavioural/cultural, Other1, Other2
6715052,International or multinational governance institutions||| National government||| Sub-national government||| Private sector corporations, Institutional, Other1, Other2
6715053, National government||| Civil Society- international/multinational/national|||International or multinational governance institutions||| Local government, Ecosystem-based||| Institutional|||Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| Other1|||Sea level rise||| Rising ocean temperature and ocean acidification, Food security||| Health & wellbeing||| Education||| Energy security||| Work and economic growth||| Industry/innovation/technology||| Sustainable cities & communities||| Clean water & sanitation||| Marine & coastal ecosystem services||| Terrestrial & freshwater ecosystem services||| Peace justice & strong institutions
6715054, Civil Society- international/multinational/national||| National government|||International or multinational governance institutions, Technological/infrastructural, No information or not assessed1,Poverty||| Sustainable cities & communities
6715056, Civil Society- sub-national or local||| Individuals or households,Behavioural/cultural||| Ecosystem-based, General climate impacts|||Sea level rise||| Precipitation variability||| Rising ocean temperature and ocean acidification, Food security||| Terrestrial & freshwater ecosystem services
6715057, Individuals or households||| National government,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Drought||| General climate impacts||| Other1, Industry/innovation/technology||| Marine & coastal ecosystem services||| Work and economic growth||| Sustainable cities & communities
6715058, Individuals or households||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| Other1, Consumption & production||| Sustainable cities & communities||| Food security
6715059, Individuals or households||| National government|||International or multinational governance institutions,Behavioural/cultural||| Technological/infrastructural||| Institutional||| Ecosystem-based,Sea level rise||| Extreme precipitation and inland flooding||| Precipitation variability||| Drought||| Other1,Poverty||| Food security||| Health & wellbeing||| Clean water & sanitation||| Industry/innovation/technology||| Marine & coastal ecosystem services||| Terrestrial & freshwater ecosystem services||| Work and economic growth||| Sustainable cities & communities
6715060,International or multinational governance institutions||| Local government||| Individuals or households||| National government,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Other1,Poverty||| Food security||| Work and economic growth||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities
6715061, National government||| Individuals or households||| Private sector corporations||| Civil Society- sub-national or local,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based,Sea level rise||| Increased frequency and intensity of extreme heat||| Precipitation variability||| Other1||| Drought||| Extreme precipitation and inland flooding, Food security||| Consumption & production||| Education||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Work and economic growth||| Clean water & sanitation
